model,model_group,finding,dimension,auroc_gap,gap_ci_lo,gap_ci_hi,sens_gap,spec_gap,fpr_gap,fnr_gap,ece_gap
DINOv2-base,clean,Pneumonia,Age,0.058955925091236594,0.015426162074946624,0.1380093438791876,0.05763706190087392,0.08388157894736836,0.08388157894736836,0.05763706190087392,0.0406855306818536
DINOv2-base,clean,Pneumonia,Race,0.10338134088134077,0.05162980890764441,0.24632195947462635,0.12189542483660132,0.1557017543859649,0.1557017543859649,0.12189542483660132,0.10745105163062066
DINOv2-base,clean,Pneumothorax,Gender,0.030731448802462036,0.010022807451215221,0.04994454849110861,0.023297126506922616,0.04123499216009219,0.04123499216009219,0.023297126506922616,0.00860283592910515
DINOv2-base,clean,Pneumothorax,Age,0.012185149340136037,0.003810037264461916,0.04084087343308857,0.03705208382855685,0.035562895033423136,0.035562895033423136,0.03705208382855685,0.005899325499278248
DINOv2-base,clean,Pneumothorax,Race,0.07012921615535661,0.0269195203959009,0.1246764822910358,0.115469491338409,0.14416210505078386,0.14416210505078386,0.115469491338409,0.04467614936542165
DINOv2-base,clean,Support Devices,Gender,0.03281245711895919,0.0024129265485219515,0.08022392214920669,0.0010241608306598149,0.09054945054945052,0.09054945054945052,0.0010241608306598149,9.681359059963372e-05
DINOv2-base,clean,Support Devices,Age,0.079789240184162,0.029952320711014935,0.1366791349048941,0.037218761634598585,0.12952148522618323,0.12952148522618323,0.037218761634598585,0.0029476284689738254
DINOv2-base,clean,Support Devices,Race,0.04817968281804064,0.023383366565109732,0.1697259187959429,0.03024791458676912,0.15388628064684406,0.15388628064684406,0.03024791458676912,0.0042466740731387865
BiomedCLIP,clean,Atelectasis,Gender,0.005907032828590841,0.0014626909356715012,0.1301148281630511,0.017360420066605653,0.02620967741935487,0.02620967741935487,0.017360420066605653,0.00377588512654501
BiomedCLIP,clean,Atelectasis,Age,0.17757911988129238,0.06882074124193031,0.3010250314233438,0.14033355854165097,0.33333333333333337,0.33333333333333337,0.14033355854165097,0.001614832090470291
BiomedCLIP,clean,Atelectasis,Race,0.0825207241186322,0.020280760743165902,0.20634971664752635,0.025992874491186257,0.21212121212121215,0.21212121212121215,0.025992874491186257,0.002701764653520353
BiomedCLIP,clean,Cardiomegaly,Gender,0.017469024117081733,0.0023123685655150328,0.03363514124208436,0.0015411321371745501,0.04517357294205737,0.04517357294205737,0.0015411321371745501,0.015686199976494793
BiomedCLIP,clean,Cardiomegaly,Age,0.07582085757322232,0.055921003385347,0.09618136590192626,0.011315544755610474,0.19904891304347827,0.19904891304347827,0.011315544755610474,0.008508631065433012
BiomedCLIP,clean,Cardiomegaly,Race,0.030512363976274548,0.012668202695531894,0.06219628779076723,0.06162322187553748,0.0692213313550375,0.0692213313550375,0.06162322187553748,0.005059193699247587
BiomedCLIP,clean,Consolidation,Gender,0.0019947772976158795,0.00023492532511793234,0.016071594333655608,0.001282320012823246,0.002982340399222627,0.002982340399222627,0.001282320012823246,0.00727881720852412
BiomedCLIP,clean,Consolidation,Age,0.02595629752688633,0.01570127150449136,0.041610769218978806,0.02796392818730875,0.04897761812655432,0.04897761812655432,0.02796392818730875,0.015333904845753595
BiomedCLIP,clean,Consolidation,Race,0.04681772918863447,0.01649259629089867,0.09450187031748249,0.09536988227025123,0.054972773623588544,0.054972773623588544,0.09536988227025123,0.03309075277941313
BiomedCLIP,clean,Edema,Gender,0.007343811261679489,0.00039440813418719365,0.023806281354732305,0.012430255503010912,0.005755667577874157,0.005755667577874157,0.012430255503010912,0.0032233793461531393
