model,model_group,label_source,attribute,finding,auroc_baseline,auroc_residualized,auroc_drop
CLIP-ViT-B16,clean,impression_fixed.json,sex,Consolidation,0.9003163020880341,0.899886419077625,0.0004298830104091378
CLIP-ViT-B16,clean,impression_fixed.json,sex,Edema,0.8520510731671167,0.8520541359601158,-3.062792999108943e-06
CLIP-ViT-B16,clean,impression_fixed.json,sex,Enlarged Cardiomediastinum,0.8009887023334044,0.8005951412103987,0.00039356112300570345
CLIP-ViT-B16,clean,impression_fixed.json,sex,Lung Opacity,0.8082540928385953,0.807791927476797,0.0004621653617983279
CLIP-ViT-B16,clean,impression_fixed.json,sex,Pleural Effusion,0.8977020024871296,0.8977229533477464,-2.095086061681961e-05
CLIP-ViT-B16,clean,impression_fixed.json,sex,Pneumonia,0.7626156075523163,0.7632602395260624,-0.0006446319737460904
CLIP-ViT-B16,clean,impression_fixed.json,sex,Pneumothorax,0.752297351910501,0.7517168950586255,0.000580456851875466
CLIP-ViT-B16,clean,impression_fixed.json,sex,Support Devices,0.7035750187358096,0.7037597217264743,-0.00018470299066464246
CLIP-ViT-B16,clean,impression_fixed.json,race_black_vs_white,Atelectasis,0.7374389893769738,0.7371313727902875,0.0003076165866863212
CLIP-ViT-B16,clean,impression_fixed.json,race_black_vs_white,Cardiomegaly,0.8407506182417688,0.8401157781267368,0.0006348401150320093
CLIP-ViT-B16,clean,impression_fixed.json,race_black_vs_white,Consolidation,0.8941579081164531,0.8932580628326018,0.0008998452838513415
CLIP-ViT-B16,clean,impression_fixed.json,race_black_vs_white,Edema,0.8494612646899761,0.8494626672082257,-1.4025182496490984e-06
CLIP-ViT-B16,clean,impression_fixed.json,race_black_vs_white,Enlarged Cardiomediastinum,0.7983471385292211,0.7984068885087513,-5.974997953017702e-05
CLIP-ViT-B16,clean,impression_fixed.json,race_black_vs_white,Lung Opacity,0.7785063537663435,0.778373976414653,0.00013237735169047138
CLIP-ViT-B16,clean,impression_fixed.json,race_black_vs_white,Pleural Effusion,0.8922758136497262,0.8914242303738014,0.0008515832759248276
CLIP-ViT-B16,clean,impression_fixed.json,race_black_vs_white,Pneumonia,0.750498670212766,0.7502216312056738,0.00027703900709219464
CLIP-ViT-B16,clean,impression_fixed.json,race_black_vs_white,Pneumothorax,0.7442780967339044,0.742173262465007,0.002104834268897404
CLIP-ViT-B16,clean,impression_fixed.json,race_black_vs_white,Support Devices,0.6927517785668256,0.6930589038739509,-0.00030712530712528885
CLIP-ViT-B16,clean,impression_fixed.json,age,Atelectasis,0.7971172737423851,0.785095902415582,0.012021371326803032
CLIP-ViT-B16,clean,impression_fixed.json,age,Cardiomegaly,0.846773946007336,0.8348668088872518,0.011907137120084177
CLIP-ViT-B16,clean,impression_fixed.json,age,Consolidation,0.9003163020880341,0.8988890966966934,0.00142720539134078
CLIP-ViT-B16,clean,impression_fixed.json,age,Edema,0.8520510731671167,0.8470349839326428,0.005016089234473942
CLIP-ViT-B16,clean,impression_fixed.json,age,Enlarged Cardiomediastinum,0.8009887023334044,0.7882791404257805,0.012709561907623845
CLIP-ViT-B16,clean,impression_fixed.json,age,Lung Opacity,0.8082540928385953,0.795381224286901,0.012872868551694339
CLIP-ViT-B16,clean,impression_fixed.json,age,Pleural Effusion,0.8977020024871296,0.8900101327740356,0.007691869713093991
CLIP-ViT-B16,clean,impression_fixed.json,age,Pneumonia,0.7626156075523163,0.7661104718066745,-0.0034948642543581876
CLIP-ViT-B16,clean,impression_fixed.json,age,Pneumothorax,0.752297351910501,0.7575855989361175,-0.005288247025616588
CLIP-ViT-B16,clean,impression_fixed.json,age,Support Devices,0.7035750187358096,0.7037766913137415,-0.00020167257793191062
CLIP-ViT-B16,clean,impression_fixed.json,bmi,Atelectasis,0.7837101647738267,0.7834124704166233,0.000297694357203393
CLIP-ViT-B16,clean,impression_fixed.json,bmi,Cardiomegaly,0.8473236156555634,0.8426272595612294,0.004696356094333942
CLIP-ViT-B16,clean,impression_fixed.json,bmi,Consolidation,0.8977581058677115,0.8962601749363447,0.0014979309313668532
CLIP-ViT-B16,clean,impression_fixed.json,bmi,Edema,0.8504056363777401,0.850680769217208,-0.00027513283946789535
CLIP-ViT-B16,clean,impression_fixed.json,bmi,Enlarged Cardiomediastinum,0.7883034623503224,0.7892486579623146,-0.0009451956119921334
CLIP-ViT-B16,clean,impression_fixed.json,bmi,Lung Opacity,0.8069470843760114,0.8077452173556319,-0.0007981329796205028
CLIP-ViT-B16,clean,impression_fixed.json,bmi,Pleural Effusion,0.8929059841337015,0.8924992164086064,0.00040676772509506964
CLIP-ViT-B16,clean,impression_fixed.json,bmi,Pneumonia,0.7570933809452105,0.7529416826209477,0.004151698324262765
CLIP-ViT-B16,clean,impression_fixed.json,bmi,Pneumothorax,0.744402521256769,0.7315545624444678,0.012847958812301163
CLIP-ViT-B16,clean,impression_fixed.json,bmi,Support Devices,0.7047559814286215,0.7059756810291942,-0.0012196996005726657
ConvNeXtV2-Base,clean,impression_fixed.json,sex,Atelectasis,0.784477519116878,0.7862513957794456,-0.001773876662567564
ConvNeXtV2-Base,clean,impression_fixed.json,sex,Cardiomegaly,0.8760921625771143,0.8760238091583918,6.835341872246659e-05
ConvNeXtV2-Base,clean,impression_fixed.json,sex,Consolidation,0.9161999520491245,0.91616645467169,3.3497377434521525e-05
ConvNeXtV2-Base,clean,impression_fixed.json,sex,Edema,0.8740435676834866,0.873878340939725,0.00016522674376151514
ConvNeXtV2-Base,clean,impression_fixed.json,sex,Enlarged Cardiomediastinum,0.8188287487427329,0.816149778595784,0.0026789701469489557
ConvNeXtV2-Base,clean,impression_fixed.json,sex,Lung Opacity,0.8203033573376763,0.8199453198071804,0.0003580375304959027
ConvNeXtV2-Base,clean,impression_fixed.json,sex,Pleural Effusion,0.9208826025408575,0.921047606700808,-0.0001650041599504659
ConvNeXtV2-Base,clean,impression_fixed.json,sex,Pneumonia,0.7653805992413587,0.7662596428419213,-0.0008790436005625679
ConvNeXtV2-Base,clean,impression_fixed.json,sex,Pneumothorax,0.7822600323522535,0.7814027528509971,0.0008572795012563583
ConvNeXtV2-Base,clean,impression_fixed.json,sex,Support Devices,0.7156368166624262,0.7155853307037785,5.148595864767902e-05
ConvNeXtV2-Base,clean,impression_fixed.json,race_black_vs_white,Atelectasis,0.7229399942578236,0.7190332636069071,0.003906730650916512
ConvNeXtV2-Base,clean,impression_fixed.json,race_black_vs_white,Cardiomegaly,0.8630905001510636,0.8622561068858892,0.0008343932651744268
ConvNeXtV2-Base,clean,impression_fixed.json,race_black_vs_white,Consolidation,0.9110445276106878,0.9096530923869217,0.0013914352237660577
ConvNeXtV2-Base,clean,impression_fixed.json,race_black_vs_white,Edema,0.8647760627161281,0.8647164556905216,5.960702560647846e-05
ConvNeXtV2-Base,clean,impression_fixed.json,race_black_vs_white,Enlarged Cardiomediastinum,0.804500279939719,0.8043442661042791,0.00015601383543983882
ConvNeXtV2-Base,clean,impression_fixed.json,race_black_vs_white,Lung Opacity,0.778791900723917,0.7783233819294519,0.00046851879446507816
ConvNeXtV2-Base,clean,impression_fixed.json,race_black_vs_white,Pleural Effusion,0.9154659866163521,0.9145208153350985,0.0009451712812535984
