model,attribute,attribute_type,disease,auroc_baseline,auroc_residualized,auroc_drop
CheXzero,respiratory_failure,comorbidity,Cardiomegaly,0.8755736911120735,0.8693522166142889,0.0062214744977846514
CheXzero,respiratory_failure,comorbidity,Consolidation,0.9152687210443294,0.91184757362348,0.003421147420849424
CheXzero,respiratory_failure,comorbidity,Edema,0.9082061503457104,0.9032269254844293,0.004979224861281106
CheXzero,respiratory_failure,comorbidity,Enlarged Cardiomediastinum,0.7905666077783752,0.7875832757252221,0.0029833320531530427
CheXzero,respiratory_failure,comorbidity,Lung Opacity,0.7706535411248028,0.7654652389886155,0.005188302136187262
CheXzero,respiratory_failure,comorbidity,Pleural Effusion,0.9246298359907297,0.9220102958254189,0.002619540165310741
CheXzero,respiratory_failure,comorbidity,Pneumonia,0.7926045840546306,0.7922436466939523,0.00036093736067832616
CheXzero,respiratory_failure,comorbidity,Pneumothorax,0.7236052117596459,0.7236051196002791,9.215936680462278e-08
CheXzero,respiratory_failure,comorbidity,Support Devices,0.7939941187191566,0.7916598320435173,0.0023342866756392855
CheXzero,pulmonary_fibrosis,comorbidity,Atelectasis,0.7665786124831884,0.7670315487283408,-0.00045293624515241326
CheXzero,pulmonary_fibrosis,comorbidity,Cardiomegaly,0.8755736911120735,0.8752112807372119,0.0003624103748616214
CheXzero,pulmonary_fibrosis,comorbidity,Consolidation,0.9152687210443294,0.9151912161071157,7.750493721370155e-05
CheXzero,pulmonary_fibrosis,comorbidity,Edema,0.9082061503457104,0.9069147275791174,0.0012914227665929978
CheXzero,pulmonary_fibrosis,comorbidity,Enlarged Cardiomediastinum,0.7905666077783752,0.7900381493714315,0.0005284584069437104
CheXzero,pulmonary_fibrosis,comorbidity,Lung Opacity,0.7706535411248028,0.7673703790559843,0.0032831620688185126
CheXzero,pulmonary_fibrosis,comorbidity,Pleural Effusion,0.9246298359907297,0.9249370182498804,-0.00030718225915071784
CheXzero,pulmonary_fibrosis,comorbidity,Pneumonia,0.7926045840546306,0.790435494891899,0.002169089162731619
CheXzero,pulmonary_fibrosis,comorbidity,Pneumothorax,0.7236052117596459,0.7237154343623018,-0.00011022260265591832
CheXzero,pulmonary_fibrosis,comorbidity,Support Devices,0.7939941187191566,0.7940261888739345,-3.207015477790787e-05
CheXzero,liver_disease,comorbidity,Atelectasis,0.7665786124831884,0.765959217644611,0.0006193948385774251
CheXzero,liver_disease,comorbidity,Cardiomegaly,0.8755736911120735,0.8755593473883319,1.4343723741649939e-05
CheXzero,liver_disease,comorbidity,Consolidation,0.9152687210443294,0.9152498416365467,1.887940778277919e-05
CheXzero,liver_disease,comorbidity,Edema,0.9082061503457104,0.9070563735750885,0.0011497767706218909
CheXzero,liver_disease,comorbidity,Enlarged Cardiomediastinum,0.7905666077783752,0.7911268146555035,-0.000560206877128322
CheXzero,liver_disease,comorbidity,Lung Opacity,0.7706535411248028,0.7707865198482071,-0.00013297872340434225
CheXzero,liver_disease,comorbidity,Pleural Effusion,0.9246298359907297,0.9238733011852502,0.0007565348054794363
CheXzero,liver_disease,comorbidity,Pneumonia,0.7926045840546306,0.7924141246281479,0.0001904594264827697
CheXzero,liver_disease,comorbidity,Pneumothorax,0.7236052117596459,0.7249683409535306,-0.0013631291938847045
CheXzero,liver_disease,comorbidity,Support Devices,0.7939941187191566,0.7914204449865412,0.0025736737326154113
CheXzero,anemia,comorbidity,Atelectasis,0.7665786124831884,0.7563540743153185,0.010224538167869834
CheXzero,anemia,comorbidity,Cardiomegaly,0.8755736911120735,0.864207620311453,0.011366070800620465
CheXzero,anemia,comorbidity,Consolidation,0.9152687210443294,0.9090424910881743,0.006226229956155183
CheXzero,anemia,comorbidity,Edema,0.9082061503457104,0.9022917085322364,0.005914441813474003
CheXzero,anemia,comorbidity,Enlarged Cardiomediastinum,0.7905666077783752,0.77884527741506,0.01172133036331513
CheXzero,anemia,comorbidity,Lung Opacity,0.7706535411248028,0.7632797509913444,0.007373790133458402
CheXzero,anemia,comorbidity,Pleural Effusion,0.9246298359907297,0.916496773932034,0.008133062058695684
CheXzero,anemia,comorbidity,Pneumonia,0.7926045840546306,0.7866690413457501,0.005935542708880526
CheXzero,anemia,comorbidity,Pneumothorax,0.7236052117596459,0.7252773513103079,-0.001672139550662033
CheXzero,anemia,comorbidity,Support Devices,0.7939941187191566,0.7895587987886945,0.004435319930462089
CheXzero,smoking_history,comorbidity,Atelectasis,0.7665786124831884,0.7665044298491619,7.418263402647618e-05
CheXzero,smoking_history,comorbidity,Cardiomegaly,0.8755736911120735,0.8745833957979368,0.0009902953141367465
CheXzero,smoking_history,comorbidity,Consolidation,0.9152687210443294,0.9151087429046963,0.00015997813963308793
CheXzero,smoking_history,comorbidity,Edema,0.9082061503457104,0.9080676258623325,0.000138524483377922
CheXzero,smoking_history,comorbidity,Enlarged Cardiomediastinum,0.7905666077783752,0.7914883375579282,-0.000921729779553071
CheXzero,smoking_history,comorbidity,Lung Opacity,0.7706535411248028,0.7708184986995267,-0.0001649575747239007
CheXzero,smoking_history,comorbidity,Pleural Effusion,0.9246298359907297,0.9245573285753601,7.25074153695715e-05
CheXzero,smoking_history,comorbidity,Pneumonia,0.7926045840546306,0.7924968225962266,0.00010776145840407647
CheXzero,smoking_history,comorbidity,Pneumothorax,0.7236052117596459,0.7237643709860564,-0.00015915922641052127
CheXzero,smoking_history,comorbidity,Support Devices,0.7939941187191566,0.7939755425639301,1.8576155226490698e-05
CheXzero,cancer_history,comorbidity,Atelectasis,0.7665786124831884,0.7652065353091244,0.001372077174063957
CheXzero,cancer_history,comorbidity,Cardiomegaly,0.8755736911120735,0.8756536226693763,-7.993155730279256e-05
CheXzero,cancer_history,comorbidity,Consolidation,0.9152687210443294,0.9142835140539802,0.0009852069903492078
CheXzero,cancer_history,comorbidity,Edema,0.9082061503457104,0.9077628955574868,0.00044325478822360154
CheXzero,cancer_history,comorbidity,Enlarged Cardiomediastinum,0.7905666077783752,0.7878485290728935,0.0027180787054816857
CheXzero,cancer_history,comorbidity,Lung Opacity,0.7706535411248028,0.7637098665415938,0.006943674583208992
CheXzero,cancer_history,comorbidity,Pleural Effusion,0.9246298359907297,0.9222254571003718,0.002404378890357828
CheXzero,cancer_history,comorbidity,Pneumonia,0.7926045840546306,0.7925759400656872,2.8643988943422016e-05
CheXzero,cancer_history,comorbidity,Pneumothorax,0.7236052117596459,0.7210925787840474,0.00251263297559845
CheXzero,cancer_history,comorbidity,Support Devices,0.7939941187191566,0.7947268253701212,-0.0007327066509645874
CheXzero,depression,comorbidity,Atelectasis,0.7665786124831884,0.7667559270718365,-0.00017731458864811422
CheXzero,depression,comorbidity,Cardiomegaly,0.8755736911120735,0.8754329722416556,0.00014071887041788855
CheXzero,depression,comorbidity,Consolidation,0.9152687210443294,0.9153059830333743,-3.726198904485667e-05
CheXzero,depression,comorbidity,Edema,0.9082061503457104,0.9077997058475001,0.00040644449821025663
CheXzero,depression,comorbidity,Enlarged Cardiomediastinum,0.7905666077783752,0.7904539519164299,0.00011265586194530997
CheXzero,depression,comorbidity,Lung Opacity,0.7706535411248028,0.7702543384641624,0.00039920266064041865
CheXzero,depression,comorbidity,Pleural Effusion,0.9246298359907297,0.9246414701738941,-1.1634183164410672e-05
CheXzero,depression,comorbidity,Pneumonia,0.7926045840546306,0.7925638125703685,4.077148426218091e-05
CheXzero,depression,comorbidity,Pneumothorax,0.7236052117596459,0.7231686528392596,0.0004365589203862985
CheXzero,depression,comorbidity,Support Devices,0.7939941187191566,0.79464673760655,-0.0006526188873934302
CheSS-ResNet50,sex,demographic,Atelectasis,0.6383784942483383,0.6394474458979573,-0.0010689516496190654
CheSS-ResNet50,sex,demographic,Cardiomegaly,0.8483714552901354,0.8482932318255015,7.82234646338198e-05
CheSS-ResNet50,sex,demographic,Consolidation,0.8139230035205649,0.8103389317153716,0.0035840718051932674
CheSS-ResNet50,sex,demographic,Edema,0.866693344453705,0.8669594913452098,-0.00026614689150472604
CheSS-ResNet50,sex,demographic,Enlarged Cardiomediastinum,0.7127879707545868,0.7148316753779577,-0.00204370462337089
CheSS-ResNet50,sex,demographic,Lung Opacity,0.6707769182610929,0.6706551847762691,0.00012173348482380497
CheSS-ResNet50,sex,demographic,Pleural Effusion,0.8766976606208248,0.8767079188544662,-1.0258233641424752e-05
CheSS-ResNet50,sex,demographic,Pneumonia,0.7252269596217362,0.7248356087323986,0.0003913508893376161
CheSS-ResNet50,sex,demographic,Pneumothorax,0.644696707467106,0.6445012545961313,0.00019545287097466613
CheSS-ResNet50,sex,demographic,Support Devices,0.6726434153049173,0.6712581360388531,0.0013852792660642432
CheSS-ResNet50,age,demographic,Atelectasis,0.6383784942483383,0.6287693113181777,0.009609182930160554
CheSS-ResNet50,age,demographic,Cardiomegaly,0.8483714552901354,0.8211217461864705,0.027249709103664865
CheSS-ResNet50,age,demographic,Consolidation,0.8139230035205649,0.8084353515516864,0.00548765196887846
CheSS-ResNet50,age,demographic,Edema,0.866693344453705,0.8586185499840331,0.008074794469671964
CheSS-ResNet50,age,demographic,Enlarged Cardiomediastinum,0.7127879707545868,0.6965592529578367,0.01622871779675006
CheSS-ResNet50,age,demographic,Lung Opacity,0.6707769182610929,0.6566045543484271,0.014172363912665742
CheSS-ResNet50,age,demographic,Pleural Effusion,0.8766976606208248,0.8590655620882452,0.01763209853257952
CheSS-ResNet50,age,demographic,Pneumonia,0.7252269596217362,0.7211279302675182,0.00409902935421802
CheSS-ResNet50,age,demographic,Pneumothorax,0.644696707467106,0.6479532358849246,-0.0032565284178186493
CheSS-ResNet50,age,demographic,Support Devices,0.6726434153049173,0.6683998684072114,0.0042435468977058965
CheSS-ResNet50,bmi,demographic,Atelectasis,0.6383784942483383,0.6390386454001881,-0.0006601511518498082
