model,disease,gap_baseline,gap_race_only,gap_cardiac_only,gap_joint_race_cardiac,red_race_only,red_cardiac_only,red_joint
CLIP-ViT-B16,Lung Opacity,0.08840270694681573,0.08908356553425267,0.13902261863524001,0.1382335361246586,-0.0006808585874369388,-0.05061991168842428,-0.04983082917784287
CLIP-ViT-B16,Pleural Effusion,0.024211688481965088,0.02409810997090811,0.03290264685222144,0.03299337967893601,0.00011357851105697758,-0.008690958370256352,-0.00878169119697092
CLIP-ViT-B16,Pneumonia,0.09033072001441822,0.09180424420043887,0.08952137041912078,0.08886306540219435,-0.0014735241860206472,0.0008093495952974372,0.0014676546122238676
CLIP-ViT-B16,Pneumothorax,0.0935162350782538,0.0903478399256078,0.09659128626713087,0.0955781963728578,0.0031683951526459975,-0.003075051188877076,-0.002061961294604009
CLIP-ViT-B16,Support Devices,0.06445185599158709,0.06604873548700119,0.07078646147149725,0.07172658029516554,-0.0015968794954140941,-0.00633460547991016,-0.00727472430357845
ConvNeXtV2-Base,Atelectasis,0.05106907049635179,0.0487103174603174,0.056630151761506764,0.055691894701752176,0.002358753036034389,-0.005561081265154977,-0.004622824205400389
ConvNeXtV2-Base,Cardiomegaly,0.061552645180914634,0.06183170341089683,0.045582452137985396,0.04649223621980614,-0.00027905822998219865,0.015970193042929237,0.015060408961108496
ConvNeXtV2-Base,Consolidation,0.08845016710187925,0.08275916309397346,0.08476717185183302,0.07926406046986012,0.005691004007905787,0.003682995250046228,0.009186106632019131
ConvNeXtV2-Base,Edema,0.03542616107671859,0.03566703678227845,0.041378755638332154,0.04249247412203683,-0.00024087570555986204,-0.005952594561613567,-0.00706631304531824
ConvNeXtV2-Base,Enlarged Cardiomediastinum,0.041209262435677574,0.04236359552397295,0.05366911344297598,0.054038652339151616,-0.0011543330882953784,-0.012459851007298406,-0.012829389903474042
ConvNeXtV2-Base,Lung Opacity,0.14130465764912625,0.1394245016560427,0.17126386317272302,0.1708528854715835,0.0018801559930835543,-0.029959205523596766,-0.02954822782245725
