model,target,task,n_test,prevalence,linear_auroc,linear_auroc_ci_lo,linear_auroc_ci_hi,linear_auprc,mlp_auroc_mean,mlp_auroc_std,mlp_auroc_ensemble,perm_p,linear_mae,linear_mae_ci_lo,linear_mae_ci_hi,linear_r2,mlp_mae_mean,mlp_mae_std
ConvNeXtV2-Base,gender_binary,binary,35471,0.5384445321068306,0.9633711095965867,0.9616590153607705,0.9650876797146424,0.9661766169862381,0.970398376162299,0.0007791137628456526,0.9707990073168621,,,,,,,
ConvNeXtV2-Base,diabetes,binary,35471,0.32833368735450813,0.7128078239734181,0.707752303087691,0.7182237968512155,0.5155314204251169,0.719600972120179,0.0009893932337121688,0.7213540146726181,,,,,,,
ConvNeXtV2-Base,hypertension,binary,35471,0.5169084848038217,0.6256313751346645,0.6196552365720365,0.6312524791401408,0.597494931379819,0.6317788807515603,0.0009686908565164483,0.6328346633131782,0.0,,,,,,
ConvNeXtV2-Base,ckd,binary,35471,0.2970179857206643,0.7195646388538537,0.7138927886704657,0.7252223700376154,0.5078415067249717,0.7290933742061465,0.0004629257598251494,0.7306782802153609,,,,,,,
ConvNeXtV2-Base,heart_failure,binary,35471,0.3393011188514108,0.7870630319123263,0.7821322223421588,0.7920628604080419,0.6601758865844738,0.7952834598117421,0.0006430533599511347,0.7962853533415898,,,,,,,
ConvNeXtV2-Base,copd,binary,35471,0.2060619985001062,0.7296637320476883,0.7234106683940908,0.7362735630898105,0.4194967714584839,0.7401220627506051,0.0002668212019593915,0.7413338387187713,,,,,,,
ConvNeXtV2-Base,smoking_history,binary,35471,0.0838900135684034,0.6641791390625507,0.6536464227568626,0.6743630948454037,0.13189512843463985,0.6794998341123033,0.00168495841713275,0.6817998001747254,,,,,,,
ConvNeXtV2-Base,cancer_history,binary,35471,0.30445676534465044,0.6695600038810147,0.6635806560941954,0.675226220915854,0.4711792562075585,0.6838216098678692,0.0005925848493420711,0.6856219761896414,,,,,,,
ConvNeXtV2-Base,atrial_fibrillation,binary,35471,0.3044264206725246,0.7856368566592771,0.7807251905757562,0.7906976319936928,0.6081257966944346,0.792267937590079,0.0007203667683473732,0.7933392704313713,,,,,,,
ConvNeXtV2-Base,coronary_artery_disease,binary,35471,0.3164342409280268,0.753755327991514,0.7484873628697465,0.7589986603263886,0.5971677003394668,0.7610449714704577,0.0005030654182714283,0.7622205306058399,,,,,,,
ConvNeXtV2-Base,obesity,binary,35471,0.18592614106804575,0.8545479117900565,0.8498139098224942,0.8593428704787728,0.584364455038034,0.8593846224643175,0.0001718275583711629,0.8601204587837804,,,,,,,
ConvNeXtV2-Base,anemia,binary,35471,0.48976300811069734,0.6723497818292197,0.6669912029571177,0.6777347270131323,0.6317779045824709,0.679048159131841,0.0007313471888230222,0.6804570817721058,,,,,,,
ConvNeXtV2-Base,depression,binary,35471,0.2924229353701833,0.5946295336182792,0.5878323830772589,0.6011128698043429,0.3606854474840917,0.6004050062330185,0.0009057332670530226,0.6030728273903057,0.0,,,,,,
ConvNeXtV2-Base,hypothyroidism,binary,35471,0.16934061027470598,0.6603797382551735,0.6524169514400008,0.6678566430594303,0.2521824163702443,0.6619914679572858,0.002684129130888682,0.6651349175669666,,,,,,,
ConvNeXtV2-Base,respiratory_failure,binary,35471,0.16929292578993685,0.668393457412677,0.6614761373078818,0.6756071290115814,0.28224872207212187,0.6843005413317155,0.003801772083430856,0.687989160604323,,,,,,,
ConvNeXtV2-Base,aki,binary,35471,0.42907799881222286,0.7111899965889129,0.7060239438978833,0.7167318353833182,0.6259549809576641,0.7206994333671226,0.000539540153574666,0.7221618428169114,,,,,,,
ConvNeXtV2-Base,stroke,binary,35471,0.0635807580099097,0.6160891089108911,0.6039723144369514,0.6283953547880372,0.0836575504438263,0.6193719900690976,0.0019425508500838602,0.6207860307534219,0.0,,,,,,
ConvNeXtV2-Base,pulmonary_fibrosis,binary,35471,0.020716741155611812,0.7063532761832603,0.6866457117508206,0.7246740035308841,0.08116109073642634,0.7220512080239203,0.00402044089697301,0.7252124470524307,,,,,,,
ConvNeXtV2-Base,liver_disease,binary,35471,0.09961722363589862,0.7164281730974165,0.7071753445502623,0.7247542830982038,0.30399046118871387,0.7247790833974235,0.001949498527702258,0.726472831047826,,,,,,,
ConvNeXtV2-Base,hyperlipidemia,binary,35471,0.4994949779567632,0.7050900698560897,0.6996338549359974,0.7103222705136207,0.6592649178285844,0.712901447346125,0.0004140721575626533,0.7142082728427835,,,,,,,
ConvNeXtV2-Base,asthma,binary,35471,0.16212724821508304,0.6463687118253182,0.637945283505999,0.6540219463241905,0.2876731964392023,0.6512547811700007,0.0012017038703889859,0.6538536661993161,0.0,,,,,,
ConvNeXtV2-Base,age,regression,35471,,,,,,,,,,8.585476872105739,8.519296541704929,8.652127651104797,0.6224415519634929,8.284078365074928,0.05441525304561053
ConvNeXtV2-Base,bmi,regression,28101,,,,,,,,,,3.6152367215526304,3.5781485281455208,3.651456839931652,0.5538563069337322,3.517280022705364,0.008533404009478964
