model,attribute,finding,auroc_drop,mcc_drop,mcc_base,auroc_base
ConvNeXtV2-Base,atrial_fibrillation,Cardiomegaly,0.05205331562114801,0.08886089290496407,0.4545231547608935,0.8166918375883295
ConvNeXtV2-Base,atrial_fibrillation,Edema,0.017660340322615986,0.03414842270648488,0.6020941752456449,0.8773151905524418
ConvNeXtV2-Base,atrial_fibrillation,Pleural Effusion,0.017254631450269065,0.027073614820330105,0.5634233607195047,0.8682048441154571
ConvNeXtV2-Base,atrial_fibrillation,Pneumonia,0.001980015735713936,0.006930619694188067,0.3660443250404819,0.7383895979816152
ConvNeXtV2-Base,atrial_fibrillation,Pneumothorax,4.2485468080721844e-05,0.0007598046305004602,0.2577124409587162,0.695334404409494
ConvNeXtV2-Base,age,Cardiomegaly,0.03521361043556792,0.05984569738568851,0.4545231547608935,0.8166918375883295
ConvNeXtV2-Base,age,Edema,0.01176350855188435,0.027889101450123688,0.6020941752456449,0.8773151905524418
ConvNeXtV2-Base,age,Pleural Effusion,0.01910839204352699,0.03329661228878178,0.5634233607195047,0.8682048441154571
ConvNeXtV2-Base,age,Pneumonia,0.003239311749625662,0.016897333976834683,0.3660443250404819,0.7383895979816152
ConvNeXtV2-Base,age,Pneumothorax,-0.0035853680047929215,0.00048591971635147946,0.2577124409587162,0.695334404409494
ConvNeXtV2-Base,sex,Cardiomegaly,-0.0002927160720037625,-0.0025897202348497683,0.4545231547608935,0.8166918375883295
ConvNeXtV2-Base,sex,Edema,-8.82269031037275e-05,0.00021551423217591736,0.6020941752456449,0.8773151905524418
ConvNeXtV2-Base,sex,Pleural Effusion,-0.0003372775300261033,-0.002820781631707292,0.5634233607195047,0.8682048441154571
ConvNeXtV2-Base,sex,Pneumonia,-8.812646598321816e-05,-0.001193826981587709,0.3660443250404819,0.7383895979816152
ConvNeXtV2-Base,sex,Pneumothorax,0.001055869865075998,-0.00023252263218848102,0.2577124409587162,0.695334404409494
ConvNeXtV2-Base,race_black_vs_white,Cardiomegaly,-0.00023404986724973043,-0.0063881023931169345,0.4471102982082063,0.8136744505661953
ConvNeXtV2-Base,race_black_vs_white,Edema,0.0005951166576234623,0.00505328874196842,0.6088841195018642,0.8777544438415626
ConvNeXtV2-Base,race_black_vs_white,Pleural Effusion,0.002992263060169309,0.0020062893427811312,0.5497063794186814,0.8648759370844108
