policy,attribute,finding,abs_log_or
U-Zero,atrial_fibrillation,Support Devices,0.4400102227223388
U-Zero,coronary_artery_disease,Atelectasis,0.22070287088427862
U-Zero,coronary_artery_disease,Cardiomegaly,0.6477137183071187
U-Zero,coronary_artery_disease,Consolidation,0.03109263061194904
U-Zero,coronary_artery_disease,Edema,0.7836107076823172
U-Zero,coronary_artery_disease,Enlarged Cardiomediastinum,0.11807462542053326
U-Zero,coronary_artery_disease,Lung Opacity,0.13104170722892738
U-Zero,coronary_artery_disease,Pleural Effusion,0.4680250317113846
U-Zero,coronary_artery_disease,Pneumonia,0.020781395278613217
U-Zero,coronary_artery_disease,Pneumothorax,0.2299978709478758
U-Zero,coronary_artery_disease,Support Devices,0.13506144638552903
U-Zero,stroke,Atelectasis,0.21705398299032644
U-Zero,stroke,Cardiomegaly,0.4621793676710196
U-Zero,stroke,Consolidation,0.18443300237822022
U-Zero,stroke,Edema,0.5264756852765181
U-Zero,stroke,Enlarged Cardiomediastinum,0.18018529430167537
U-Zero,stroke,Lung Opacity,0.22406964841703264
U-Zero,stroke,Pleural Effusion,0.2376653644520852
U-Zero,stroke,Pneumonia,0.12970270946440707
U-Zero,stroke,Pneumothorax,0.3700618500059724
U-Zero,stroke,Support Devices,0.557269454087752
U-Zero,diabetes,Atelectasis,0.1520809567090974
U-Zero,diabetes,Cardiomegaly,0.49016904599880506
U-Zero,diabetes,Consolidation,0.053972159395586916
U-Zero,diabetes,Edema,0.6138386045887012
U-Zero,diabetes,Enlarged Cardiomediastinum,0.07375432537656904
U-Zero,diabetes,Lung Opacity,0.050257101966148035
U-Zero,diabetes,Pleural Effusion,0.18547070818768996
U-Zero,diabetes,Pneumonia,0.03404501561326152
U-Zero,diabetes,Pneumothorax,0.4777747749838346
U-Zero,diabetes,Support Devices,0.12712790478983332
U-Zero,hyperlipidemia,Atelectasis,0.18752412825978562
U-Zero,hyperlipidemia,Cardiomegaly,0.5136784709918527
U-Zero,hyperlipidemia,Consolidation,0.12687866025129735
U-Zero,hyperlipidemia,Edema,0.5129459962625068
U-Zero,hyperlipidemia,Enlarged Cardiomediastinum,0.10159285254710257
U-Zero,hyperlipidemia,Lung Opacity,0.09429926356466217
U-Zero,hyperlipidemia,Pleural Effusion,0.2722460868139582
