attribute,attribute_type,model,disease,auroc_baseline,auroc_residualized,auroc_drop,log_or,abs_log_or,odds_ratio,erank,norm_erank,log_erank,abs_log_or_z,log_erank_z,interaction_z,predicted_drop,residual
sex,demographic,ConvNeXtV2-Base,Pleural Effusion,0.868135,0.868332,-0.000197,0.04215680520892045,0.04215680520892045,1.0430580228593347,76.21363326767849,0.07442737623796727,4.3335403609633465,-0.8234134813101588,0.5300944216352932,-0.43648689314181194,-0.0003649002553911297,0.00016790025539112973
sex,demographic,ConvNeXtV2-Base,Pneumonia,0.730863,0.730778,8.4e-05,0.14219674375050403,0.14219674375050403,1.1528034330980725,76.21363326767849,0.07442737623796727,4.3335403609633465,-0.3113056624846683,0.5300944216352932,-0.16502139510660202,0.0026640758199980973,-0.0025800758199980975
sex,demographic,ConvNeXtV2-Base,Pneumothorax,0.700197,0.699268,0.000929,0.14289913844303473,0.14289913844303473,1.1536134405501774,76.21363326767849,0.07442737623796727,4.3335403609633465,-0.3077100803682621,0.5300944216352932,-0.16311539708416348,0.0026853426935105344,-0.0017563426935105343
sex,demographic,ConvNeXtV2-Base,Support Devices,0.731161,0.730079,0.001082,0.03434955381642698,0.03434955381642698,1.0349463129400267,76.21363326767849,0.07442737623796727,4.3335403609633465,-0.8633790644554362,0.5300944216352932,-0.457672425824525,-0.0006012856233467709,0.001683285623346771
age,demographic,ConvNeXtV2-Base,Atelectasis,0.648145,0.633371,0.014774,0.008299791598117607,0.008299791598117607,1.0083343303571106,76.21363326767849,0.07442737623796727,4.3335403609633465,-0.9967286756709202,0.5300944216352932,-0.5283603108570881,-0.0013900116829498486,0.01616401168294985
age,demographic,ConvNeXtV2-Base,Cardiomegaly,0.81695,0.784341,0.032609,0.5927949816694053,0.5927949816694053,1.8090375828289462,76.21363326767849,0.07442737623796727,4.3335403609633465,1.995321911974907,0.5300944216352932,1.0577090149045658,0.016307139801905356,0.016301860198094643
age,demographic,ConvNeXtV2-Base,Consolidation,0.846056,0.843512,0.002544,0.04080488365008132,0.04080488365008132,1.0416488429960586,76.21363326767849,0.07442737623796727,4.3335403609633465,-0.8303340133577917,0.5300944216352932,-0.4401554285750104,-0.00040583328791018135,0.002949833287910181
age,demographic,ConvNeXtV2-Base,Edema,0.874384,0.864417,0.009967,0.3451058427560672,0.3451058427560672,1.4121393764816168,76.21363326767849,0.07442737623796727,4.3335403609633465,0.7273928575908079,0.5300944216352932,0.3855868961462425,0.008807690213675093,0.001159309786324907
age,demographic,ConvNeXtV2-Base,Enlarged Cardiomediastinum,0.713427,0.691487,0.021939,0.19777791051139573,0.19777791051139573,1.2186917051466384,76.21363326767849,0.07442737623796727,4.3335403609633465,-0.026783795591830667,0.5300944216352932,-0.014197940633449393,0.004346943950619552,0.01759205604938045
age,demographic,ConvNeXtV2-Base,Lung Opacity,0.684308,0.66934,0.014967,0.12523913534824602,0.12523913534824602,1.1334194613192998,76.21363326767849,0.07442737623796727,4.3335403609633465,-0.3981122317206883,0.5300944216352932,-0.2110370732199141,0.0021506389777222663,0.012816361022277734
age,demographic,ConvNeXtV2-Base,Pleural Effusion,0.868135,0.850262,0.017873,0.6285128784075926,0.6285128784075926,1.8748204191976376,76.21363326767849,0.07442737623796727,4.3335403609633465,2.1781630298152987,0.5300944216352932,1.1546320715173186,0.01738859443153032,0.0004844055684696813
age,demographic,ConvNeXtV2-Base,Pneumonia,0.730863,0.72736,0.003503,0.04667562312908584,0.04667562312908584,1.047782077677937,76.21363326767849,0.07442737623796727,4.3335403609633465,-0.8002814999984796,0.5300944216352932,-0.42422475888711897,-0.00022808098531999083,0.003731080985319991
age,demographic,ConvNeXtV2-Base,Pneumothorax,0.700197,0.703991,-0.003794,-0.14034426449037196,0.14034426449037196,0.869058997740351,76.21363326767849,0.07442737623796727,4.3335403609633465,-0.3207885662844478,0.5300944216352932,-0.17004822951176926,0.0026079870674369154,-0.006401987067436915
age,demographic,ConvNeXtV2-Base,Support Devices,0.731161,0.727767,0.003394,0.13402280687297669,0.13402280687297669,1.143418897156819,76.21363326767849,0.07442737623796727,4.3335403609633465,-0.35314832099277804,0.5300944216352932,-0.18720195496814154,0.0024165880705581014,0.0009774119294418985
bmi,demographic,ConvNeXtV2-Base,Atelectasis,0.648145,0.647877,0.000268,0.0614559170400696,0.0614559170400696,1.0633836183981034,76.21363326767849,0.07442737623796727,4.3335403609633465,-0.7246206770641741,0.5300944216352932,-0.3841173787133079,0.00021943185101568584,4.856814898431417e-05
