model,dimension,disease,subgroup,n,n_pos,prevalence,auroc,auroc_ci_lo,auroc_ci_hi,auprc,auprc_ci_lo,auprc_ci_hi,ece,brier,tpr,fpr,sufficient_data
DINOv2-base,Gender,Edema,Female,3807,2079,0.5460993,0.8971098774339514,0.8866592081666204,0.9064751201164908,0.9030207414772932,0.8885932869751691,0.9152333223821916,0.017661652189909647,0.12708744,0.8253968253968254,0.171875,True
DINOv2-base,Gender,Edema,Male,4454,2338,0.5249214,0.8948827298144731,0.8859971563129021,0.9038603306952281,0.8941973157925923,0.8824190571440711,0.9071327372897383,0.016744602175507245,0.12944262,0.8118049615055604,0.18100189035916825,True
DINOv2-base,Gender,Enlarged Cardiomediastinum,Female,882,536,0.60770977,0.8071132775429213,0.7794501120231655,0.8351780251149312,0.8588092711832676,0.8291700569658121,0.8863013667085421,0.07928455411509322,0.1798542,0.7276119402985075,0.25722543352601157,True
DINOv2-base,Gender,Enlarged Cardiomediastinum,Male,1124,639,0.56850535,0.7922462610715841,0.7681439363314629,0.8173132294085166,0.8353825468507682,0.8072403718917395,0.8635130953601037,0.047743488858815186,0.18590654,0.7261345852895149,0.28865979381443296,True
DINOv2-base,Gender,Pleural Effusion,Female,5712,3893,0.68154764,0.902364896495267,0.8937741097947844,0.9107643106687406,0.9437834587110885,0.9358140064074687,0.9513704659167032,0.07354945964792987,0.11888022,0.8540970973542256,0.20615722924683894,True
DINOv2-base,Gender,Pleural Effusion,Male,6990,4734,0.67725325,0.8811130231133164,0.8727770658996876,0.8890181373532802,0.934507258101712,0.9279025542912702,0.9408670529509041,0.09679026858286881,0.13916811,0.8073510773130546,0.20656028368794327,True
DINOv2-base,Gender,Pneumonia,Female,2800,1128,0.40285715,0.75176615680885,0.7327218072190459,0.7695122889345848,0.6831068990665766,0.6571629044978298,0.7115016349044833,0.06408481629831451,0.19896393,0.6427304964539007,0.2583732057416268,True
DINOv2-base,Gender,Pneumonia,Male,3183,1324,0.41595978,0.7603444661311266,0.74358394806303,0.7770947347261865,0.7106527572881844,0.6855129365236758,0.7350929818764218,0.08622776826260188,0.20035776,0.6835347432024169,0.2980096826250672,True
DINOv2-base,Gender,Pneumothorax,Female,3465,635,0.18326119,0.7279797445813972,0.7055552014336286,0.7505080352403862,0.42743338496973715,0.3905708412603298,0.4662064781201672,0.23552581782077817,0.1957075,0.6913385826771653,0.3438162544169611,True
DINOv2-base,Gender,Pneumothorax,Male,4825,994,0.20601036,0.6939333731441113,0.6758516807323994,0.7130093346044994,0.3857586276564026,0.35864196159538364,0.4186317561004158,0.22672931965459814,0.20993629,0.6539235412474849,0.3735317149569303,True
DINOv2-base,Age,Cardiomegaly,<50,1629,953,0.5850215,0.83256548923673,0.8136740225474808,0.8517370179590624,0.8656077700262128,0.8444984877174975,0.8859817666260282,0.12672514015176384,0.18118052,0.5907660020986358,0.14053254437869822,True
DINOv2-base,Age,Cardiomegaly,50-70,3968,2813,0.7089214,0.8110555045144452,0.7970880545029482,0.8252895476796727,0.9074393728885156,0.8972652411076042,0.9171293397280668,0.14569528331799855,0.17573652,0.6889441876999645,0.22770562770562772,True
DINOv2-base,Age,Cardiomegaly,70+,3826,3161,0.8261892,0.7761372745371813,0.7552392622232037,0.7952223746184505,0.9320346014737876,0.9216272157208603,0.9424006932941409,0.1849273360868399,0.16101691,0.7522935779816514,0.3443609022556391,True
DINOv2-base,Age,Consolidation,<50,589,303,0.51443124,0.8791802257148791,0.8522833073361231,0.9076641359685454,0.8902214806485823,0.8589035355887147,0.919266904611289,0.056798707143560126,0.14117926,0.7458745874587459,0.11188811188811189,True
DINOv2-base,Age,Consolidation,50-70,1206,707,0.58623546,0.8855362776472322,0.8666702669966493,0.9047274870034903,0.9207276425517736,0.9042382263521375,0.9373729859294827,0.0475460791753398,0.13692059,0.785007072135785,0.16432865731462926,True
DINOv2-base,Age,Consolidation,70+,1093,703,0.6431839,0.884283473757158,0.8635230051939404,0.9031489772081046,0.931993341131591,0.9156558485320756,0.9462297797165529,0.03632555029475133,0.13225016,0.8364153627311522,0.23076923076923078,True
DINOv2-base,Age,Edema,<50,1290,527,0.40852714,0.9086224605260869,0.8931452877923737,0.9249046285185484,0.874523447262007,0.8463790004272141,0.8982376893994337,0.026815486924592836,0.1179909,0.7874762808349146,0.12844036697247707,True
DINOv2-base,Age,Edema,50-70,3485,1778,0.5101865,0.9024462891171997,0.8924516803349385,0.9122684705817032,0.8936037009773029,0.8777443341594259,0.9083305699386347,0.015209292628972056,0.123972155,0.8104611923509561,0.15582893966022263,True
DINOv2-base,Age,Edema,70+,3486,2112,0.605852,0.8772237246923382,0.8658418455898748,0.8885442751863434,0.9074775848118208,0.8950808274710673,0.9198628002589617,0.019040061830961356,0.13657717,0.8323863636363636,0.22998544395924309,True
