model,fusion,disease,auroc_mean,auroc_std,n_seeds,tier1
ConvNeXtV2-Base,Metadata-Only,Cardiomegaly,0.7590051979804036,0.0009198227924866124,5,True
ConvNeXtV2-Base,Metadata-Only,Consolidation,0.6715263752779124,0.0032492777990584787,5,True
ConvNeXtV2-Base,Metadata-Only,Edema,0.6699529558603984,0.0009528703377859684,5,True
ConvNeXtV2-Base,Metadata-Only,Enlarged Cardiomediastinum,0.6680256036049876,0.002737712850688077,5,True
ConvNeXtV2-Base,Metadata-Only,Lung Opacity,0.5959100648104719,0.004904337192496879,5,False
ConvNeXtV2-Base,Metadata-Only,Pleural Effusion,0.6703540162466106,0.0008237996672348395,5,True
ConvNeXtV2-Base,Metadata-Only,Pneumonia,0.6005281350961399,0.0011997145264873892,5,True
ConvNeXtV2-Base,Metadata-Only,Pneumothorax,0.6426654829717598,0.004252229969400627,5,True
ConvNeXtV2-Base,Metadata-Only,Support Devices,0.6091764804845223,0.003989141684430241,5,False
ConvNeXtV2-Base,Metadata-Only,MEAN,0.6464994885590066,0.0012288188337787646,5,True
ConvNeXtV2-Base,Late Fusion,Atelectasis,0.7479752965797585,0.004858499136859594,5,False
ConvNeXtV2-Base,Late Fusion,Cardiomegaly,0.8309440969561693,0.0014398436399437327,5,True
ConvNeXtV2-Base,Late Fusion,Consolidation,0.8802292357566047,0.0010463537179100986,5,True
ConvNeXtV2-Base,Late Fusion,Edema,0.8876862335640585,0.0015410810261425,5,True
ConvNeXtV2-Base,Late Fusion,Enlarged Cardiomediastinum,0.7910219422894744,0.0014132234943520137,5,True
ConvNeXtV2-Base,Late Fusion,Lung Opacity,0.7422516842195028,0.0031058278937251944,5,False
ConvNeXtV2-Base,Late Fusion,Pleural Effusion,0.8746717802078082,0.001637906176168438,5,True
ConvNeXtV2-Base,Late Fusion,Pneumonia,0.7496628671801332,0.001131409075472063,5,True
ConvNeXtV2-Base,Late Fusion,Pneumothorax,0.7191038257288491,0.0016596992349003428,5,True
ConvNeXtV2-Base,Late Fusion,Support Devices,0.7606316068023778,0.0038030532389317466,5,False
ConvNeXtV2-Base,Late Fusion,MEAN,0.7984178569284737,0.0011183882172747241,5,True
