model,finding,dimension,auroc_gap,gap_ci_lo,gap_ci_hi,sens_gap,spec_gap,fpr_gap,fnr_gap,ece_gap
BiomedCLIP,Lung Opacity,Gender,0.017895904114954564,0.0007658755266173129,0.06242337318547612,0.01607482811096006,0.012095655551240037,0.012095655551240037,0.01607482811096006,0.0004641504759757579
BiomedCLIP,Lung Opacity,Age,0.031633286260154936,0.00981750678330565,0.08441185724429029,0.12506914813876435,0.13816150431442964,0.13816150431442964,0.12506914813876435,0.017838761239316745
BiomedCLIP,Lung Opacity,Race,0.08826017771244687,0.030740492816833564,0.22977500331135128,0.10029555973055948,0.0863207547169812,0.0863207547169812,0.10029555973055948,0.019465390888814507
BiomedCLIP,Pleural Effusion,Gender,0.01390343551526707,0.0022256979647965807,0.025851177456200136,0.04741728217568153,0.014106174384647563,0.014106174384647563,0.04741728217568153,0.004451733566240946
BiomedCLIP,Pleural Effusion,Age,0.03419490900648425,0.017407999710401988,0.051206241494510286,0.07473840688141054,0.18325016891679224,0.18325016891679224,0.07473840688141054,0.015515794321770068
BiomedCLIP,Pleural Effusion,Race,0.04127067652884686,0.02282458136606777,0.07513445073248574,0.0760763849923316,0.0630190424483722,0.0630190424483722,0.0760763849923316,0.03678324155137108
BiomedCLIP,Pneumonia,Gender,0.011890500854772945,0.000664021617986041,0.035342714505724376,0.04989179576182212,0.03741400300104747,0.03741400300104747,0.04989179576182212,0.006022002436921754
BiomedCLIP,Pneumonia,Age,0.0413227843786691,0.019100581781215587,0.07450531322692432,0.0672269649431021,0.12330539496604487,0.12330539496604487,0.0672269649431021,0.005773759673321721
BiomedCLIP,Pneumonia,Race,0.046183885384555534,0.016387097363234578,0.13056897167414447,0.07261878123368382,0.12095042935206868,0.12095042935206868,0.07261878123368382,0.07956839015860219
BiomedCLIP,Pneumothorax,Gender,0.008873611045828289,0.0006318100710719561,0.03794434033157016,0.028035932128202323,0.004606460408071444,0.004606460408071444,0.028035932128202323,0.0044304127871458675
BiomedCLIP,Pneumothorax,Age,0.04718575169548678,0.014789100929516541,0.08882233169865744,0.06138220357694857,0.07831462767064978,0.07831462767064978,0.06138220357694857,0.03890085948704444
BiomedCLIP,Pneumothorax,Race,0.05326654827342847,0.03206658813687339,0.13888809198517232,0.26131147540983607,0.22552425367215512,0.22552425367215512,0.2613114754098361,0.04569148279255667
BiomedCLIP,Support Devices,Gender,0.0033598676028987473,0.0008083441514295603,0.048230257673850946,0.03531659020144229,0.018623279879065535,0.018623279879065535,0.03531659020144229,0.0006275676629789286
BiomedCLIP,Support Devices,Age,0.05740232429133363,0.013781127289979763,0.11407446206435012,0.012894761750032013,0.03901379180049114,0.03901379180049114,0.012894761750032013,0.0033990962220815726
BiomedCLIP,Support Devices,Race,0.0994597835534915,0.04522098937203126,0.19562225497740018,0.13065953654188955,0.23076923076923073,0.23076923076923073,0.13065953654188955,0.01635742831977581
XRV-DenseNet-nih,Atelectasis,Gender,0.03041784559879579,0.0012777420531639107,0.10196402519582878,0.038147266876983554,0.06057142857142861,0.06057142857142861,0.038147266876983554,0.00011240887955233682
XRV-DenseNet-nih,Atelectasis,Age,0.1749092535221055,0.08500824771828992,0.2752852362749572,0.08282705658248901,0.22023809523809523,0.22023809523809523,0.08282705658248901,0.0015635959655345378
