model,disease,race_group,n,auroc,brier,mean_pred,prevalence,calib_gap
BiomedCLIP,Enlarged Cardiomediastinum,Other,194,0.7910591766723841,0.18662887658211685,0.5557776515264912,0.5463917255401611,0.009385925986330035
BiomedCLIP,Lung Opacity,White,5827,0.7642598161141427,0.045084543188980794,0.9500285410420628,0.9498884677886963,0.00014007325336651277
BiomedCLIP,Lung Opacity,Black,1098,0.7263015717092338,0.06393992685785486,0.9454309018626873,0.9271402359008789,0.018290665961808394
BiomedCLIP,Lung Opacity,Asian,293,0.8035971223021582,0.04335066292031228,0.9528165204319614,0.9488054513931274,0.00401106903883397
BiomedCLIP,Lung Opacity,Other,681,0.7429095060689822,0.06818799753946239,0.9412099889365988,0.922173261642456,0.01903672729414274
BiomedCLIP,Pleural Effusion,White,9135,0.8895850433660051,0.1177247491326746,0.6990292547130799,0.706184983253479,-0.007155728540399142
BiomedCLIP,Pleural Effusion,Black,1390,0.861783234000645,0.15004943656463135,0.6116567896173906,0.5784172415733337,0.03323954804405682
BiomedCLIP,Pleural Effusion,Asian,387,0.8756602249425215,0.12364701535721924,0.6926603722184805,0.6873385310173035,0.005321841201177069
BiomedCLIP,Pleural Effusion,Other,1046,0.9023430465352414,0.11952680221528182,0.6225773487995011,0.6070745587348938,0.015502790064607308
BiomedCLIP,Pneumonia,White,3927,0.7649019858996322,0.19139907944000778,0.4268223801452092,0.4163483679294586,0.010474012215750561
BiomedCLIP,Pneumonia,Black,872,0.7853586554924755,0.17771541941869068,0.3934172133331677,0.37155961990356445,0.02185759342960325
BiomedCLIP,Pneumonia,Asian,227,0.7404371584699454,0.20507040223789258,0.4613445273711987,0.46255508065223694,-0.0012105532810382513
BiomedCLIP,Pneumonia,Other,541,0.7832752613240417,0.17822658706520603,0.38263917233012407,0.37892791628837585,0.003711256041748212
BiomedCLIP,Pneumothorax,White,5861,0.6948058246918705,0.1428233792564252,0.19426791374660454,0.19843029975891113,-0.00416238601230659
BiomedCLIP,Pneumothorax,Black,895,0.7489464028955327,0.12697386674078254,0.1828016286465048,0.18547485768795013,-0.0026732290414453463
BiomedCLIP,Pneumothorax,Asian,289,0.7498561978717285,0.13978915884580898,0.2737031336042622,0.2110726684331894,0.06263046517107279
BiomedCLIP,Pneumothorax,Other,653,0.7119710669077759,0.11980889809856106,0.15741903776417154,0.15313935279846191,0.004279684965709629
BiomedCLIP,Support Devices,White,8281,0.745390791042986,0.03760212998732698,0.9526968738577006,0.9591836929321289,-0.006486819074428274
BiomedCLIP,Support Devices,Black,1188,0.772237333992756,0.044817969915505455,0.95020807938349,0.9486532211303711,0.0015548582531188515
BiomedCLIP,Support Devices,Asian,359,0.8540247678018577,0.04477090985952638,0.936522572096138,0.9470751881599426,-0.010552616063804643
BiomedCLIP,Support Devices,Other,878,0.7571869639794169,0.0526619926077013,0.9531278069811252,0.9396355152130127,0.013492291768112508
XRV-DenseNet-nih,Atelectasis,White,5340,0.6796714874571101,0.028712897300769084,0.9692408885282876,0.9698501825332642,-0.0006092940049765572
XRV-DenseNet-nih,Atelectasis,Black,826,0.5537628883636488,0.04251671816418527,0.9668280883332097,0.9552057981491089,0.01162229018410077
XRV-DenseNet-nih,Atelectasis,Asian,197,0.6510416666666666,0.02498290866708341,0.9702931755394799,0.9746192693710327,-0.004326093831552802
XRV-DenseNet-nih,Atelectasis,Other,620,0.6635289774824659,0.027513182116883944,0.9697727623405331,0.9709677696228027,-0.0011950072822696223
XRV-DenseNet-nih,Cardiomegaly,White,6459,0.8010808696778564,0.1458075524652946,0.7570260513038936,0.7398977875709534,0.017128263732940185
XRV-DenseNet-nih,Cardiomegaly,Black,1333,0.8096351148736685,0.12637446869600052,0.7575109112667789,0.7794448733329773,-0.021933962066198354
XRV-DenseNet-nih,Cardiomegaly,Asian,281,0.746948690603152,0.18453893671352656,0.7177183289363538,0.690391480922699,0.027326848013654814
XRV-DenseNet-nih,Cardiomegaly,Other,748,0.8198720770645053,0.14727480905858845,0.7300191548616073,0.7072192430496216,0.022799911811985707
XRV-DenseNet-nih,Consolidation,White,1925,0.7800219582283006,0.18273188773028204,0.5966161648606726,0.6322078108787537,-0.03559164601808107
XRV-DenseNet-nih,Consolidation,Black,419,0.7795205479452054,0.19463905734214315,0.5414040930458558,0.4773269593715668,0.06407713367428902
XRV-DenseNet-nih,Consolidation,Asian,106,0.8255718954248366,0.15615606033289783,0.6162710745178751,0.6792452931404114,-0.06297421862253627
XRV-DenseNet-nih,Consolidation,Other,236,0.8040866249370457,0.18535388542163503,0.5324786496528342,0.4788135588169098,0.05366509083592441
XRV-DenseNet-nih,Edema,White,5718,0.827089282740262,0.16749163548856416,0.5401555060581884,0.5475690960884094,-0.007413590030221018
XRV-DenseNet-nih,Edema,Black,1093,0.8533976355537695,0.15672366331244886,0.5301888096901146,0.5077767372131348,0.02241207247697985
XRV-DenseNet-nih,Edema,Asian,228,0.8362978362978364,0.16556365221853,0.5335985838908727,0.5131579041481018,0.020440679742770862
XRV-DenseNet-nih,Edema,Other,685,0.7983538037240695,0.1847765306266321,0.5234658330303344,0.4656934440135956,0.05777238901673887
XRV-DenseNet-nih,Enlarged Cardiomediastinum,White,1346,0.7549782648908621,0.19480890271970303,0.5969383828693198,0.6062406897544861,-0.009302306885166312
XRV-DenseNet-nih,Enlarged Cardiomediastinum,Black,223,0.7716828478964401,0.196892121783308,0.5598576732445579,0.5381165742874146,0.02174109895714338
XRV-DenseNet-nih,Enlarged Cardiomediastinum,Asian,71,0.680952380952381,0.2188933653080129,0.5958247138548077,0.7042253613471985,-0.10840064749239076
XRV-DenseNet-nih,Enlarged Cardiomediastinum,Other,194,0.8103559176672385,0.17867439615473962,0.5666232959825873,0.5463917255401611,0.020231570442426183
XRV-DenseNet-nih,Lung Opacity,White,5827,0.6782399673311801,0.04676648234059376,0.9487551890144678,0.9498884677886963,-0.00113327877422853
XRV-DenseNet-nih,Lung Opacity,Black,1098,0.6032170923379175,0.06736428516769662,0.9489789605444369,0.9271402359008789,0.02183872464355796
XRV-DenseNet-nih,Lung Opacity,Asian,293,0.759232613908873,0.04515006025706041,0.9518859419844797,0.9488054513931274,0.0030804905913522918
XRV-DenseNet-nih,Lung Opacity,Other,681,0.6408785001802668,0.07114164555015824,0.9484495654066871,0.922173261642456,0.026276303764231068
XRV-DenseNet-nih,Pleural Effusion,White,9135,0.7935360360724582,0.15768569007789798,0.6878378783455025,0.706184983253479,-0.01834710490797653
XRV-DenseNet-nih,Pleural Effusion,Black,1390,0.7617288981712598,0.1963929426766586,0.6423683395853843,0.5784172415733337,0.06395109801205057
XRV-DenseNet-nih,Pleural Effusion,Asian,387,0.7613247996023116,0.16999586945310535,0.7126159561686101,0.6873385310173035,0.0252774251513066
XRV-DenseNet-nih,Pleural Effusion,Other,1046,0.8069659175814702,0.1724865559766907,0.6516940613459122,0.6070745587348938,0.044619502611018436
XRV-DenseNet-nih,Pneumonia,White,3927,0.7046034338291411,0.21256486969607727,0.42109986935749216,0.4163483679294586,0.004751501428033544
XRV-DenseNet-nih,Pneumonia,Black,872,0.7120167612868342,0.20587004982881127,0.4182865009137498,0.37155961990356445,0.04672688101018535
XRV-DenseNet-nih,Pneumonia,Asian,227,0.6562060889929743,0.23109787304399027,0.4613823391863689,0.46255508065223694,-0.0011727414658680435
XRV-DenseNet-nih,Pneumonia,Other,541,0.7065766550522647,0.20765272415726554,0.4125849288997131,0.37892791628837585,0.033657012611337245
XRV-DenseNet-nih,Pneumothorax,White,5861,0.6327071727344507,0.15324889843241254,0.19507867907260887,0.19843029975891113,-0.0033516206863022646
XRV-DenseNet-nih,Pneumothorax,Black,895,0.650660254185466,0.14509361460110398,0.1953214039383552,0.18547485768795013,0.00984654625040507
XRV-DenseNet-nih,Pneumothorax,Asian,289,0.7044147253379349,0.15511100326478577,0.26363863313540103,0.2110726684331894,0.05256596470221164
XRV-DenseNet-nih,Pneumothorax,Other,653,0.6174864376130199,0.12937598802445316,0.1822959339976753,0.15313935279846191,0.029156581199213383
XRV-DenseNet-nih,Support Devices,White,8281,0.6752475291779372,0.03844981170380814,0.9524145649189928,0.9591836929321289,-0.0067691280131361165
XRV-DenseNet-nih,Support Devices,Black,1188,0.6474755262047799,0.04766195466286438,0.9528134863941013,0.9486532211303711,0.004160265263730256
XRV-DenseNet-nih,Support Devices,Asian,359,0.7047987616099071,0.04916493969146527,0.943902291861772,0.9470751881599426,-0.0031728962981706355
XRV-DenseNet-nih,Support Devices,Other,878,0.704722698684963,0.05430482666072783,0.953215907086961,0.9396355152130127,0.013580391873948328
CLIP-ViT-B16,Atelectasis,White,5340,0.6945883938840444,0.02972442386069591,0.9704188758894802,0.9698501825332642,0.0005686933562160101
CLIP-ViT-B16,Atelectasis,Black,826,0.6691330113383345,0.04304565031525182,0.9652386322349142,0.9552057981491089,0.010032834085805353
CLIP-ViT-B16,Atelectasis,Asian,197,0.5635416666666666,0.026462278719355706,0.9687644146989047,0.9746192693710327,-0.005854854672127985
CLIP-ViT-B16,Atelectasis,Other,620,0.6638058324104836,0.02951925051525134,0.9651426506222952,0.9709677696228027,-0.005825119000507528
CLIP-ViT-B16,Cardiomegaly,White,6459,0.7718866768301796,0.15415182989062345,0.7557057766950108,0.7398977875709534,0.015807989124057453
CLIP-ViT-B16,Cardiomegaly,Black,1333,0.7906215421683591,0.13658544651904062,0.7592473115577281,0.7794448733329773,-0.02019756177524923
CLIP-ViT-B16,Cardiomegaly,Asian,281,0.7755658253347553,0.16601684671515504,0.6988690324866205,0.690391480922699,0.008477551563921493
