attribute,attribute_type,model,disease,auroc_baseline,auroc_residualized,auroc_drop,log_or,abs_log_or,odds_ratio,erank,norm_erank,log_erank
pulmonary_fibrosis,comorbidity,DINOv2-base,Pneumonia,0.745943,0.743808,0.002135,0.3056945781038908,0.3056945781038908,1.357567612348512,91.37791693219594,0.1189816626721301,4.515003840210997
pulmonary_fibrosis,comorbidity,DINOv2-base,Pneumothorax,0.702207,0.702206,1e-06,-0.1046186723231352,0.1046186723231352,0.9006679067116622,91.37791693219594,0.1189816626721301,4.515003840210997
pulmonary_fibrosis,comorbidity,DINOv2-base,Support Devices,0.745245,0.744543,0.000702,-0.1867527221797471,0.1867527221797471,0.8296488647853663,91.37791693219594,0.1189816626721301,4.515003840210997
liver_disease,comorbidity,DINOv2-base,Atelectasis,0.696113,0.695831,0.000282,0.0650867215486985,0.0650867215486985,1.0672515740804631,91.37791693219594,0.1189816626721301,4.515003840210997
liver_disease,comorbidity,DINOv2-base,Cardiomegaly,0.813224,0.813395,-0.000171,-0.0299853202254221,0.0299853202254221,0.9704597795747448,91.37791693219594,0.1189816626721301,4.515003840210997
liver_disease,comorbidity,DINOv2-base,Consolidation,0.88276,0.883036,-0.000276,0.0255957274847687,0.0255957274847687,1.025926110896083,91.37791693219594,0.1189816626721301,4.515003840210997
liver_disease,comorbidity,DINOv2-base,Edema,0.889433,0.888172,0.001262,0.122437013507441,0.122437013507441,1.1302479274792747,91.37791693219594,0.1189816626721301,4.515003840210997
liver_disease,comorbidity,DINOv2-base,Enlarged Cardiomediastinum,0.773702,0.774432,-0.00073,-0.0731513711186557,0.0731513711186557,0.9294601259577832,91.37791693219594,0.1189816626721301,4.515003840210997
liver_disease,comorbidity,DINOv2-base,Lung Opacity,0.7188,0.718823,-2.3e-05,0.0560783514921986,0.0560783514921986,1.0576805513396357,91.37791693219594,0.1189816626721301,4.515003840210997
liver_disease,comorbidity,DINOv2-base,Pleural Effusion,0.883672,0.883094,0.000578,0.2118868116599027,0.2118868116599027,1.2360079754694944,91.37791693219594,0.1189816626721301,4.515003840210997
liver_disease,comorbidity,DINOv2-base,Pneumonia,0.745943,0.745292,0.000651,0.0469234159457033,0.0469234159457033,1.0480417427204036,91.37791693219594,0.1189816626721301,4.515003840210997
liver_disease,comorbidity,DINOv2-base,Pneumothorax,0.702207,0.70385,-0.001643,-0.1380630582269061,0.1380630582269061,0.8710437635386925,91.37791693219594,0.1189816626721301,4.515003840210997
liver_disease,comorbidity,DINOv2-base,Support Devices,0.745245,0.742769,0.002476,0.3752056563559756,0.3752056563559756,1.4552906736217108,91.37791693219594,0.1189816626721301,4.515003840210997
anemia,comorbidity,DINOv2-base,Atelectasis,0.696113,0.685736,0.010377,0.069802869792296,0.069802869792296,1.072296778331317,91.37791693219594,0.1189816626721301,4.515003840210997
anemia,comorbidity,DINOv2-base,Cardiomegaly,0.813224,0.799133,0.014091,0.4131595724974206,0.4131595724974206,1.5115862142772476,91.37791693219594,0.1189816626721301,4.515003840210997
