model,attribute,disease,auroc_baseline,auroc_residualized,auroc_drop
XRV-DenseNet-nih,sex,Enlarged Cardiomediastinum,0.5055771711931139,0.5044833069968377,0.0010938641962761064
XRV-DenseNet-nih,sex,Lung Opacity,0.49437654490524574,0.4954703537872933,-0.0010938088820475755
XRV-DenseNet-nih,sex,Pleural Effusion,0.5159205127977806,0.5166885932753136,-0.0007680804775329619
XRV-DenseNet-nih,sex,Pneumonia,0.5197083683674825,0.5197039430012834,4.425366199045655e-06
XRV-DenseNet-nih,sex,Pneumothorax,0.5204174345638533,0.5198370512748035,0.0005803832890497462
XRV-DenseNet-nih,sex,Support Devices,0.495854005149271,0.5020023938324463,-0.006148388683175243
XRV-DenseNet-nih,race_black_vs_white,Atelectasis,0.5184331797235023,0.5182490854672431,0.00018409425625920406
XRV-DenseNet-nih,race_black_vs_white,Cardiomegaly,0.4922838146376449,0.49192421993920243,0.00035959469844248915
XRV-DenseNet-nih,race_black_vs_white,Consolidation,0.511235113050785,0.5112567200267515,-2.1606975966537156e-05
XRV-DenseNet-nih,race_black_vs_white,Edema,0.5076167456528953,0.5090727675047136,-0.0014560218518183676
